Geo Point,UBIGEO
"-6.35441720956, -77.8225667852",10119
"-6.38622244082, -77.6654494122",10603
"-6.23223587658, -77.7335752485",10118
"-6.17779804066, -78.3344798942",10502
"-6.20742904986, -78.0123971033",10508
"-6.17183769053, -77.981194173",10509
"-10.9519752823, -76.4254456966",190104
"-10.7605473712, -76.248390568",190111
"-10.7265230519, -76.4167994352",190109
"-10.5537099545, -76.0338349435",190110
"-10.4517724323, -76.1541120859",190103
"-10.416197884, -76.5359209038",190205
"-8.52564280796, -76.2125363105",221002
"-8.0156539505, -76.7989804789",221003
"-7.31517248842, -76.6354709767",220605
"-7.24481666265, -76.7680044827",220601
"-7.18416758424, -76.341377986",220203
"-7.08954699921, -76.7628091542",220405
"-6.93949231475, -76.4868452871",220707
"-7.05176863055, -76.0945592856",220708
"-6.97034379704, -76.2121145276",220709
"-6.96450203763, -76.3315754019",220701
"-7.4094388201, -78.1173081087",61002
"-7.18959858595, -78.4118423526",60107
"-7.09012326878, -78.4559730242",60108
"-7.2247260288, -78.6223855657",60109
"-13.9158770523, -73.2454539464",30409
"-14.0078060221, -73.0867755793",30404
"-13.9769337436, -73.2582588565",30405
"-14.5889200264, -73.2951750482",30406
"-14.2771699823, -72.2305867589",30504
"-14.2120169023, -72.5667955546",30705
"-14.1707512154, -73.284007039",30413
"-14.1714371666, -72.3104131334",30506
"-14.1056199516, -73.1179367355",30414
"-14.0451412755, -72.1153708663",30505
"-14.1304393041, -73.1978175752",30408
"-13.8798450624, -73.6155651628",30203
"-13.918969775, -72.3952604984",30503
"-13.8040203969, -72.7881337059",30106
"-13.7905942924, -73.4722045934",30218
"-13.7894812733, -73.6575828835",30212
"-7.18436416536, -78.284075807",60111
"-7.27390940981, -78.4819788238",60112
"-7.6314506476, -78.0321466487",60201
"-6.88132432414, -78.0576104037",60311
"-7.0774878173, -78.9223645406",61101
"-6.91373777553, -78.9531135022",61103
"-6.93143522302, -78.7252698746",61111
"-7.17498114303, -78.7856570441",61202
"-8.1393501322, -79.0458228276",130111
"-7.26463580741, -77.7339112042",130301
"-7.94554980835, -78.4640045582",130602
"-7.90847406057, -78.6849842169",130606
"-7.62998054084, -78.5765820035",131102
"-8.14569650042, -78.0326567997",131002
"-8.0262818098, -77.8004602268",131008
"-6.11248856412, -78.1167910998",10510
"-6.00841344466, -77.6709843294",10116
"-5.93922111946, -77.7753586409",10308
"-5.89484726771, -77.7257950125",10302
"-5.58091273601, -78.5209827359",10201
